# league	bet_key	samples	success	fail	success_rate	matches	ht_matches	avg_ft_goals	avg_ht_goals	goals_0	goals_1	goals_2	goals_3	goals_4_plus	rate_o05_ft	rate_o15_ft	rate_o25_ft	rate_o35_ft	rate_exact_2	rate_exact_3	home_scored_rate	away_scored_rate	btts_rate	home_win_rate	draw_rate	away_win_rate	rate_ht05	rate_ht15	rate_ht_home_lead	rate_ht_draw	rate_ht_away_lead	rate_ht1x_home
superligaen	O15_FT	47	36	11	0.765957	47	47	2.765957	1.212766	2	9	9	12	15	0.957447	0.765957	0.574468	0.319149	0.191489	0.255319	0.765957	0.851064	0.659574	0.319149	0.297872	0.382979	0.659574	0.361702	0.170213	0.446809	0.382979	0.617021
superligaen	TEAM1_SCORE_FT	47	36	11	0.765957	47	47	2.765957	1.212766	2	9	9	12	15	0.957447	0.765957	0.574468	0.319149	0.191489	0.255319	0.765957	0.851064	0.659574	0.319149	0.297872	0.382979	0.659574	0.361702	0.170213	0.446809	0.382979	0.617021
liga profesional argentina	HT1X_HOME	114	87	27	0.763158	114	114	1.736842	0.815789	26	28	28	20	12	0.771930	0.526316	0.280702	0.105263	0.245614	0.175439	0.640351	0.535088	0.403509	0.350877	0.421053	0.228070	0.561404	0.219298	0.254386	0.508772	0.236842	0.763158
serie a italia	O15_FT	109	83	26	0.761468	109	109	2.651376	1.073394	7	19	25	29	29	0.935780	0.761468	0.532110	0.266055	0.229358	0.266055	0.761468	0.678899	0.504587	0.422018	0.256881	0.321101	0.688073	0.293578	0.311927	0.412844	0.275229	0.724771
serie a italia	TEAM1_SCORE_FT	109	83	26	0.761468	109	109	2.651376	1.073394	7	19	25	29	29	0.935780	0.761468	0.532110	0.266055	0.229358	0.266055	0.761468	0.678899	0.504587	0.422018	0.256881	0.321101	0.688073	0.293578	0.311927	0.412844	0.275229	0.724771
super lig	O15_FT	71	54	17	0.760563	71	71	2.619718	1.126761	8	9	13	20	21	0.887324	0.760563	0.577465	0.295775	0.183099	0.281690	0.760563	0.704225	0.577465	0.408451	0.309859	0.281690	0.661972	0.352113	0.309859	0.492958	0.197183	0.802817
super lig	TEAM1_SCORE_FT	71	54	17	0.760563	71	71	2.619718	1.126761	8	9	13	20	21	0.887324	0.760563	0.577465	0.295775	0.183099	0.281690	0.760563	0.704225	0.577465	0.408451	0.309859	0.281690	0.661972	0.352113	0.309859	0.492958	0.197183	0.802817
primera a colombia	TEAM1_SCORE_FT	75	57	18	0.760000	75	75	2.546667	1.106667	12	8	18	20	17	0.840000	0.733333	0.493333	0.226667	0.240000	0.266667	0.760000	0.613333	0.533333	0.466667	0.360000	0.173333	0.626667	0.346667	0.333333	0.506667	0.160000	0.840000
eredivisie	HT1X_HOME	83	63	20	0.759036	83	83	3.096386	1.469880	4	8	18	20	33	0.951807	0.855422	0.638554	0.397590	0.216867	0.240964	0.879518	0.771084	0.698795	0.409639	0.301205	0.289157	0.734940	0.469880	0.373494	0.385542	0.240964	0.759036
championship	TEAM1_SCORE_FT	163	123	40	0.754601	163	163	2.564417	1.128834	9	25	49	44	36	0.944785	0.791411	0.490798	0.220859	0.300613	0.269939	0.754601	0.693252	0.503067	0.398773	0.220859	0.380368	0.674847	0.361963	0.312883	0.435583	0.251534	0.748466
premiership	HT05	61	46	15	0.754098	61	61	2.868852	1.278689	4	11	16	9	21	0.934426	0.754098	0.491803	0.344262	0.262295	0.147541	0.803279	0.639344	0.508197	0.475410	0.262295	0.262295	0.754098	0.344262	0.426230	0.360656	0.213115	0.786885
premiership	O15_FT	61	46	15	0.754098	61	61	2.868852	1.278689	4	11	16	9	21	0.934426	0.754098	0.491803	0.344262	0.262295	0.147541	0.803279	0.639344	0.508197	0.475410	0.262295	0.262295	0.754098	0.344262	0.426230	0.360656	0.213115	0.786885
super league switzerland	HT05	61	46	15	0.754098	61	61	3.344262	1.360656	3	4	13	20	21	0.950820	0.885246	0.672131	0.344262	0.213115	0.327869	0.918033	0.803279	0.770492	0.409836	0.295082	0.295082	0.754098	0.377049	0.360656	0.377049	0.262295	0.737705
laliga2	O15_FT	109	82	27	0.752294	109	109	2.642202	1.275229	7	20	26	30	26	0.935780	0.752294	0.513761	0.238532	0.238532	0.275229	0.807339	0.697248	0.568807	0.486239	0.229358	0.284404	0.706422	0.357798	0.348624	0.431193	0.220183	0.779817
serie b	HT05	116	87	29	0.750000	116	116	2.637931	1.198276	9	18	26	32	31	0.922414	0.767241	0.543103	0.267241	0.224138	0.275862	0.793103	0.672414	0.543103	0.422414	0.293103	0.284483	0.750000	0.370690	0.318966	0.413793	0.267241	0.732759
copa del rey	HT1X_HOME	16	12	4	0.750000	16	16	3.187500	1.625000	0	3	3	4	6	1.000000	0.812500	0.625000	0.375000	0.187500	0.250000	0.687500	0.750000	0.437500	0.375000	0.062500	0.562500	0.625000	0.500000	0.187500	0.562500	0.250000	0.750000
copa del rey	TEAM2_SCORE_FT	16	12	4	0.750000	16	16	3.187500	1.625000	0	3	3	4	6	1.000000	0.812500	0.625000	0.375000	0.187500	0.250000	0.687500	0.750000	0.437500	0.375000	0.062500	0.562500	0.625000	0.500000	0.187500	0.562500	0.250000	0.750000
cup	HT1X_HOME	4	3	1	0.750000	4	4	1.750000	0.750000	2	0	0	1	1	0.500000	0.500000	0.500000	0.250000	0.000000	0.250000	0.500000	0.250000	0.250000	0.250000	0.750000	0.000000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000
dfb pokal	TEAM1_SCORE_FT	4	3	1	0.750000	4	4	2.500000	0.250000	0	0	2	2	0	1.000000	1.000000	0.500000	0.000000	0.500000	0.500000	0.750000	0.500000	0.250000	0.500000	0.250000	0.250000	0.250000	0.000000	0.250000	0.750000	0.000000	1.000000
league cup	HT1X_HOME	4	3	1	0.750000	4	4	3.000000	1.000000	0	1	1	0	2	1.000000	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.750000	0.500000	0.500000	0.000000	0.500000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000
league cup	O15_FT	4	3	1	0.750000	4	4	3.000000	1.000000	0	1	1	0	2	1.000000	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.750000	0.500000	0.500000	0.000000	0.500000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000
league cup	TEAM1_SCORE_FT	4	3	1	0.750000	4	4	3.000000	1.000000	0	1	1	0	2	1.000000	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.750000	0.500000	0.500000	0.000000	0.500000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000
league cup	TEAM2_SCORE_FT	4	3	1	0.750000	4	4	3.000000	1.000000	0	1	1	0	2	1.000000	0.750000	0.500000	0.500000	0.250000	0.000000	0.750000	0.750000	0.500000	0.500000	0.000000	0.500000	0.500000	0.250000	0.250000	0.500000	0.250000	0.750000
schweizer cup	HT1X_HOME	4	3	1	0.750000	4	4	4.000000	1.500000	0	0	0	3	1	1.000000	1.000000	1.000000	0.250000	0.000000	0.750000	1.000000	1.000000	1.000000	0.750000	0.000000	0.250000	1.000000	0.500000	0.500000	0.250000	0.250000	0.750000
schweizer cup	TEAM1_WIN_FT	4	3	1	0.750000	4	4	4.000000	1.500000	0	0	0	3	1	1.000000	1.000000	1.000000	0.250000	0.000000	0.750000	1.000000	1.000000	1.000000	0.750000	0.000000	0.250000	1.000000	0.500000	0.500000	0.250000	0.250000	0.750000
championship	HT1X_HOME	163	122	41	0.748466	163	163	2.564417	1.128834	9	25	49	44	36	0.944785	0.791411	0.490798	0.220859	0.300613	0.269939	0.754601	0.693252	0.503067	0.398773	0.220859	0.380368	0.674847	0.361963	0.312883	0.435583	0.251534	0.748466
premier league	TEAM1_SCORE_FT	106	79	27	0.745283	106	106	2.669811	1.226415	10	14	31	20	31	0.905660	0.773585	0.481132	0.292453	0.292453	0.188679	0.745283	0.745283	0.584906	0.349057	0.320755	0.330189	0.698113	0.330189	0.320755	0.386792	0.292453	0.707547
premier league	TEAM2_SCORE_FT	106	79	27	0.745283	106	106	2.669811	1.226415	10	14	31	20	31	0.905660	0.773585	0.481132	0.292453	0.292453	0.188679	0.745283	0.745283	0.584906	0.349057	0.320755	0.330189	0.698113	0.330189	0.320755	0.386792	0.292453	0.707547
liga portugal	HT1X_HOME	82	61	21	0.743902	82	82	2.817073	1.195122	6	12	13	26	25	0.926829	0.780488	0.621951	0.304878	0.158537	0.317073	0.804878	0.658537	0.536585	0.487805	0.280488	0.231707	0.670732	0.329268	0.304878	0.439024	0.256098	0.743902
super league switzerland	HT1X_HOME	61	45	16	0.737705	61	61	3.344262	1.360656	3	4	13	20	21	0.950820	0.885246	0.672131	0.344262	0.213115	0.327869	0.918033	0.803279	0.770492	0.409836	0.295082	0.295082	0.754098	0.377049	0.360656	0.377049	0.262295	0.737705
eredivisie	HT05	83	61	22	0.734940	83	83	3.096386	1.469880	4	8	18	20	33	0.951807	0.855422	0.638554	0.397590	0.216867	0.240964	0.879518	0.771084	0.698795	0.409639	0.301205	0.289157	0.734940	0.469880	0.373494	0.385542	0.240964	0.759036
pro league	TEAM2_SCORE_FT	64	47	17	0.734375	64	64	2.750000	1.265625	6	8	16	16	18	0.906250	0.781250	0.531250	0.281250	0.250000	0.250000	0.687500	0.734375	0.515625	0.375000	0.218750	0.406250	0.718750	0.375000	0.296875	0.390625	0.312500	0.687500
primera a colombia	O15_FT	75	55	20	0.733333	75	75	2.546667	1.106667	12	8	18	20	17	0.840000	0.733333	0.493333	0.226667	0.240000	0.266667	0.760000	0.613333	0.533333	0.466667	0.360000	0.173333	0.626667	0.346667	0.333333	0.506667	0.160000	0.840000
serie b	HT1X_HOME	116	85	31	0.732759	116	116	2.637931	1.198276	9	18	26	32	31	0.922414	0.767241	0.543103	0.267241	0.224138	0.275862	0.793103	0.672414	0.543103	0.422414	0.293103	0.284483	0.750000	0.370690	0.318966	0.413793	0.267241	0.732759
fa cup	HT1X_HOME	56	41	15	0.732143	56	56	3.535714	1.339286	1	11	6	11	27	0.982143	0.785714	0.678571	0.482143	0.107143	0.196429	0.803571	0.821429	0.642857	0.410714	0.142857	0.446429	0.785714	0.339286	0.482143	0.250000	0.267857	0.732143
ligue 1	HT1X_HOME	81	59	22	0.728395	81	81	2.592593	1.172840	7	16	21	12	25	0.913580	0.716049	0.456790	0.308642	0.259259	0.148148	0.716049	0.629630	0.432099	0.444444	0.234568	0.320988	0.716049	0.283951	0.370370	0.358025	0.271605	0.728395
cymru premier league	O15_FT	44	32	12	0.727273	44	44	2.613636	1.068182	4	8	12	7	13	0.909091	0.727273	0.454545	0.295455	0.272727	0.159091	0.681818	0.727273	0.500000	0.340909	0.272727	0.386364	0.636364	0.250000	0.272727	0.431818	0.295455	0.704545
cymru premier league	TEAM2_SCORE_FT	44	32	12	0.727273	44	44	2.613636	1.068182	4	8	12	7	13	0.909091	0.727273	0.454545	0.295455	0.272727	0.159091	0.681818	0.727273	0.500000	0.340909	0.272727	0.386364	0.636364	0.250000	0.272727	0.431818	0.295455	0.704545
serie a brazil	HT05	44	32	12	0.727273	44	44	2.340909	1.113636	4	13	10	8	9	0.909091	0.613636	0.386364	0.204545	0.227273	0.181818	0.704545	0.636364	0.431818	0.454545	0.272727	0.272727	0.727273	0.318182	0.272727	0.500000	0.227273	0.772727
serie a italia	HT1X_HOME	109	79	30	0.724771	109	109	2.651376	1.073394	7	19	25	29	29	0.935780	0.761468	0.532110	0.266055	0.229358	0.266055	0.761468	0.678899	0.504587	0.422018	0.256881	0.321101	0.688073	0.293578	0.311927	0.412844	0.275229	0.724771
bundesliga	TEAM2_SCORE_FT	94	68	26	0.723404	94	94	3.170213	1.351064	3	11	20	24	36	0.968085	0.851064	0.638298	0.382979	0.212766	0.255319	0.882979	0.723404	0.638298	0.478723	0.265957	0.255319	0.765957	0.382979	0.414894	0.393617	0.191489	0.808511
mls	O15_FT	47	34	13	0.723404	47	47	2.723404	1.255319	2	11	9	11	14	0.957447	0.723404	0.531915	0.297872	0.191489	0.234043	0.808511	0.574468	0.425532	0.574468	0.148936	0.276596	0.702128	0.340426	0.446809	0.361702	0.191489	0.808511
liga portugal 2	TEAM1_SCORE_FT	86	62	24	0.720930	86	86	2.406977	0.906977	9	24	12	21	20	0.895349	0.616279	0.476744	0.232558	0.139535	0.244186	0.720930	0.651163	0.476744	0.441860	0.244186	0.313953	0.581395	0.244186	0.302326	0.523256	0.174419	0.825581
2. bundesliga	HT05	75	54	21	0.720000	75	75	2.973333	1.373333	5	8	18	19	25	0.933333	0.826667	0.586667	0.333333	0.240000	0.253333	0.853333	0.773333	0.693333	0.400000	0.320000	0.280000	0.720000	0.346667	0.346667	0.373333	0.280000	0.720000
2. bundesliga	HT1X_HOME	75	54	21	0.720000	75	75	2.973333	1.373333	5	8	18	19	25	0.933333	0.826667	0.586667	0.333333	0.240000	0.253333	0.853333	0.773333	0.693333	0.400000	0.320000	0.280000	0.720000	0.346667	0.346667	0.373333	0.280000	0.720000
liga mx	HT05	82	59	23	0.719512	82	82	2.780488	1.317073	6	13	13	26	24	0.926829	0.768293	0.609756	0.292683	0.158537	0.317073	0.792683	0.719512	0.585366	0.451220	0.170732	0.378049	0.719512	0.378049	0.402439	0.365854	0.231707	0.768293
liga mx	TEAM2_SCORE_FT	82	59	23	0.719512	82	82	2.780488	1.317073	6	13	13	26	24	0.926829	0.768293	0.609756	0.292683	0.158537	0.317073	0.792683	0.719512	0.585366	0.451220	0.170732	0.378049	0.719512	0.378049	0.402439	0.365854	0.231707	0.768293
pro league	HT05	64	46	18	0.718750	64	64	2.750000	1.265625	6	8	16	16	18	0.906250	0.781250	0.531250	0.281250	0.250000	0.250000	0.687500	0.734375	0.515625	0.375000	0.218750	0.406250	0.718750	0.375000	0.296875	0.390625	0.312500	0.687500
saudi arabia	HT05	131	94	37	0.717557	131	131	2.969466	1.221374	5	23	30	23	50	0.961832	0.786260	0.557252	0.381679	0.229008	0.175573	0.793893	0.709924	0.541985	0.473282	0.221374	0.305344	0.717557	0.335878	0.297710	0.412214	0.290076	0.709924
uefa champions league	HT05	60	43	17	0.716667	60	60	3.633333	1.650000	2	4	14	13	27	0.966667	0.900000	0.666667	0.450000	0.233333	0.216667	0.883333	0.716667	0.633333	0.533333	0.150000	0.316667	0.716667	0.600000	0.383333	0.450000	0.166667	0.833333
uefa champions league	TEAM2_SCORE_FT	60	43	17	0.716667	60	60	3.633333	1.650000	2	4	14	13	27	0.966667	0.900000	0.666667	0.450000	0.233333	0.216667	0.883333	0.716667	0.633333	0.533333	0.150000	0.316667	0.716667	0.600000	0.383333	0.450000	0.166667	0.833333
uefa europa league	HT05	60	43	17	0.716667	60	60	2.500000	1.233333	1	20	14	10	15	0.983333	0.650000	0.416667	0.250000	0.233333	0.166667	0.766667	0.700000	0.483333	0.483333	0.216667	0.300000	0.716667	0.333333	0.300000	0.350000	0.350000	0.650000
ligue 1	HT05	81	58	23	0.716049	81	81	2.592593	1.172840	7	16	21	12	25	0.913580	0.716049	0.456790	0.308642	0.259259	0.148148	0.716049	0.629630	0.432099	0.444444	0.234568	0.320988	0.716049	0.283951	0.370370	0.358025	0.271605	0.728395
ligue 1	O15_FT	81	58	23	0.716049	81	81	2.592593	1.172840	7	16	21	12	25	0.913580	0.716049	0.456790	0.308642	0.259259	0.148148	0.716049	0.629630	0.432099	0.444444	0.234568	0.320988	0.716049	0.283951	0.370370	0.358025	0.271605	0.728395
ligue 1	TEAM1_SCORE_FT	81	58	23	0.716049	81	81	2.592593	1.172840	7	16	21	12	25	0.913580	0.716049	0.456790	0.308642	0.259259	0.148148	0.716049	0.629630	0.432099	0.444444	0.234568	0.320988	0.716049	0.283951	0.370370	0.358025	0.271605	0.728395
coupe de france	HT05	28	20	8	0.714286	28	28	3.178571	1.250000	3	2	6	5	12	0.892857	0.821429	0.607143	0.428571	0.214286	0.178571	0.642857	0.714286	0.464286	0.285714	0.250000	0.464286	0.714286	0.321429	0.178571	0.392857	0.428571	0.571429
coupe de france	TEAM2_SCORE_FT	28	20	8	0.714286	28	28	3.178571	1.250000	3	2	6	5	12	0.892857	0.821429	0.607143	0.428571	0.214286	0.178571	0.642857	0.714286	0.464286	0.285714	0.250000	0.464286	0.714286	0.321429	0.178571	0.392857	0.428571	0.571429
saudi arabia	HT1X_HOME	131	93	38	0.709924	131	131	2.969466	1.221374	5	23	30	23	50	0.961832	0.786260	0.557252	0.381679	0.229008	0.175573	0.793893	0.709924	0.541985	0.473282	0.221374	0.305344	0.717557	0.335878	0.297710	0.412214	0.290076	0.709924
saudi arabia	TEAM2_SCORE_FT	131	93	38	0.709924	131	131	2.969466	1.221374	5	23	30	23	50	0.961832	0.786260	0.557252	0.381679	0.229008	0.175573	0.793893	0.709924	0.541985	0.473282	0.221374	0.305344	0.717557	0.335878	0.297710	0.412214	0.290076	0.709924
premier league	HT1X_HOME	106	75	31	0.707547	106	106	2.669811	1.226415	10	14	31	20	31	0.905660	0.773585	0.481132	0.292453	0.292453	0.188679	0.745283	0.745283	0.584906	0.349057	0.320755	0.330189	0.698113	0.330189	0.320755	0.386792	0.292453	0.707547
laliga2	HT05	109	77	32	0.706422	109	109	2.642202	1.275229	7	20	26	30	26	0.935780	0.752294	0.513761	0.238532	0.238532	0.275229	0.807339	0.697248	0.568807	0.486239	0.229358	0.284404	0.706422	0.357798	0.348624	0.431193	0.220183	0.779817
cymru premier league	HT1X_HOME	44	31	13	0.704545	44	44	2.613636	1.068182	4	8	12	7	13	0.909091	0.727273	0.454545	0.295455	0.272727	0.159091	0.681818	0.727273	0.500000	0.340909	0.272727	0.386364	0.636364	0.250000	0.272727	0.431818	0.295455	0.704545
serie a brazil	TEAM1_SCORE_FT	44	31	13	0.704545	44	44	2.340909	1.113636	4	13	10	8	9	0.909091	0.613636	0.386364	0.204545	0.227273	0.181818	0.704545	0.636364	0.431818	0.454545	0.272727	0.272727	0.727273	0.318182	0.272727	0.500000	0.227273	0.772727
super lig	TEAM2_SCORE_FT	71	50	21	0.704225	71	71	2.619718	1.126761	8	9	13	20	21	0.887324	0.760563	0.577465	0.295775	0.183099	0.281690	0.760563	0.704225	0.577465	0.408451	0.309859	0.281690	0.661972	0.352113	0.309859	0.492958	0.197183	0.802817
mls	HT05	47	33	14	0.702128	47	47	2.723404	1.255319	2	11	9	11	14	0.957447	0.723404	0.531915	0.297872	0.191489	0.234043	0.808511	0.574468	0.425532	0.574468	0.148936	0.276596	0.702128	0.340426	0.446809	0.361702	0.191489	0.808511
uefa europa league	TEAM2_SCORE_FT	60	42	18	0.700000	60	60	2.500000	1.233333	1	20	14	10	15	0.983333	0.650000	0.416667	0.250000	0.233333	0.166667	0.766667	0.700000	0.483333	0.483333	0.216667	0.300000	0.716667	0.333333	0.300000	0.350000	0.350000	0.650000
premier league	HT05	106	74	32	0.698113	106	106	2.669811	1.226415	10	14	31	20	31	0.905660	0.773585	0.481132	0.292453	0.292453	0.188679	0.745283	0.745283	0.584906	0.349057	0.320755	0.330189	0.698113	0.330189	0.320755	0.386792	0.292453	0.707547
laliga2	TEAM2_SCORE_FT	109	76	33	0.697248	109	109	2.642202	1.275229	7	20	26	30	26	0.935780	0.752294	0.513761	0.238532	0.238532	0.275229	0.807339	0.697248	0.568807	0.486239	0.229358	0.284404	0.706422	0.357798	0.348624	0.431193	0.220183	0.779817
championship	TEAM2_SCORE_FT	163	113	50	0.693252	163	163	2.564417	1.128834	9	25	49	44	36	0.944785	0.791411	0.490798	0.220859	0.300613	0.269939	0.754601	0.693252	0.503067	0.398773	0.220859	0.380368	0.674847	0.361963	0.312883	0.435583	0.251534	0.748466
czech first league	HT1X_HOME	52	36	16	0.692308	52	52	2.288462	0.980769	8	9	13	11	11	0.846154	0.673077	0.423077	0.211538	0.250000	0.211538	0.692308	0.480769	0.326923	0.442308	0.250000	0.307692	0.634615	0.269231	0.269231	0.423077	0.307692	0.692308
czech first league	TEAM1_SCORE_FT	52	36	16	0.692308	52	52	2.288462	0.980769	8	9	13	11	11	0.846154	0.673077	0.423077	0.211538	0.250000	0.211538	0.692308	0.480769	0.326923	0.442308	0.250000	0.307692	0.634615	0.269231	0.269231	0.423077	0.307692	0.692308
serie a italia	HT05	109	75	34	0.688073	109	109	2.651376	1.073394	7	19	25	29	29	0.935780	0.761468	0.532110	0.266055	0.229358	0.266055	0.761468	0.678899	0.504587	0.422018	0.256881	0.321101	0.688073	0.293578	0.311927	0.412844	0.275229	0.724771
